"Retrieval Model", "Evaluation Metric", "Value"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "MAP", "0.21336282471907916"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "MRR", "0.8250457875457877"

"Retrieval Model", "Evaluation Metric", "Query", "Value"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "2", "8", "0.375", "1"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "2", "9", "0.3333333333333333", "1"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "2", "10", "0.3", "1"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "2", "11", "0.2727272727272727", "1"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "2", "12", "0.25", "1"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "2", "13", "0.23076923076923078", "1"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "2", "14", "0.21428571428571427", "1"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "2", "15", "0.2", "1"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "2", "16", "0.1875", "1"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "2", "17", "0.17647058823529413", "1"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "2", "18", "0.16666666666666666", "1"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "2", "19", "0.15789473684210525", "1"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "2", "20", "0.15", "1"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "2", "21", "0.14285714285714285", "1"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "2", "22", "0.13636363636363635", "1"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "2", "23", "0.13043478260869565", "1"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "2", "24", "0.125", "1"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "2", "25", "0.12", "1"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "2", "26", "0.11538461538461539", "1"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "2", "27", "0.1111111111111111", "1"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "2", "28", "0.10714285714285714", "1"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "2", "29", "0.10344827586206896", "1"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "2", "30", "0.1", "1"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "2", "31", "0.0967741935483871", "1"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "2", "32", "0.09375", "1"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "2", "33", "0.09090909090909091", "1"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "2", "34", "0.08823529411764706", "1"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "2", "35", "0.08571428571428572", "1"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "2", "36", "0.08333333333333333", "1"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "2", "37", "0.08108108108108109", "1"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "2", "38", "0.07894736842105263", "1"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "2", "39", "0.07692307692307693", "1"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "2", "40", "0.075", "1"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "2", "41", "0.07317073170731707", "1"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "2", "42", "0.07142857142857142", "1"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "2", "43", "0.06976744186046512", "1"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "2", "44", "0.06818181818181818", "1"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "2", "45", "0.06666666666666667", "1"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "2", "46", "0.06521739130434782", "1"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "2", "47", "0.06382978723404255", "1"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "2", "48", "0.0625", "1"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "2", "49", "0.061224489795918366", "1"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "2", "50", "0.06", "1"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "2", "51", "0.058823529411764705", "1"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "2", "52", "0.057692307692307696", "1"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "2", "53", "0.05660377358490566", "1"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "2", "54", "0.05555555555555555", "1"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "2", "55", "0.05454545454545454", "1"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "2", "56", "0.05357142857142857", "1"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "2", "57", "0.05263157894736842", "1"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "2", "58", "0.05172413793103448", "1"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "2", "59", "0.05084745762711865", "1"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "2", "60", "0.05", "1"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "2", "61", "0.04918032786885246", "1"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "2", "62", "0.04838709677419355", "1"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "2", "63", "0.047619047619047616", "1"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "2", "64", "0.046875", "1"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "2", "65", "0.046153846153846156", "1"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "2", "66", "0.045454545454545456", "1"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "2", "67", "0.04477611940298507", "1"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "2", "68", "0.04411764705882353", "1"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "2", "69", "0.043478260869565216", "1"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "2", "70", "0.04285714285714286", "1"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "2", "71", "0.04225352112676056", "1"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "2", "72", "0.041666666666666664", "1"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "2", "73", "0.0410958904109589", "1"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "2", "74", "0.04054054054054054", "1"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "2", "75", "0.04", "1"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "2", "76", "0.039473684210526314", "1"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "2", "77", "0.03896103896103896", "1"
